fips,PopulationEstimate2018,PopRatioMale2017,PopRatio65+2017,"MedianAge,Male2010","MedianAge,Female2010",PopulationDensityperSqMile2010,"MedicareEnrollment,AgedTot2017",#Hospitals,#ICU_beds,PopRatioMale<52010,PopRatio<52010,PopRatioMale5-92010,PopRatio5-92010,PopRatioMale10-142010,PopRatio10-142010,PopRatioMale15-192010,PopRatio15-192010,PopRatioMale20-242010,PopRatio20-242010,PopRatioMale25-292010,PopRatio25-292010,PopRatioMale30-342010,PopRatio30-342010,PopRatioMale35-442010,PopRatio35-442010,PopRatioMale45-542010,PopRatio45-542010,PopRatioMale55-592010,PopRatio55-592010,PopRatioMale60-642010,PopRatio60-642010,PopRatioMale65-742010,PopRatio65-742010,PopRatioMale75-842010,PopRatio75-842010,PopRatioMale>842010,PopRatio>842010,HeartDiseaseMortality,StrokeMortality,DiabetesPercentage,Smokers_Percentage,#EligibleforMedicare2018,mortality2015-17Estimated
01001,55601.0,0.4865775439607956,0.15119631017584317,35.9,37.9,91.8,0.14496252522340733,0.3603343903142116,1.0810031709426349,0.5213746856663872,0.03361919861631594,0.5013781007266349,0.03605145575093687,0.5060606060606061,0.03911429806860767,0.5158508158508158,0.03987100028826751,0.49967532467532466,0.027727731334678582,0.48875514729173264,0.027799798212741426,0.4786786786786787,0.028718650908042664,0.48259128957903674,0.07167051023349669,0.49238269347958563,0.07278754684347075,0.49432371067142394,0.027457480541942924,0.4605689593086064,0.02304338426059383,0.45377523050087215,0.03280844623810897,0.4243188698284561,0.015152061112712598,0.2885662431941924,0.002864658402997982,204.5,56.1,9.9,18.08155718,11439.0,33.194755456194684
01003,218022.0,0.48547228022649885,0.1994704366311116,40.1,42.2,114.7,0.19559982692777997,0.28218296743608556,2.3985552232067273,0.5031367628607277,0.026402919653103072,0.5028019656866971,0.027428184434787516,0.5094750964279725,0.028575728502360932,0.5112068965517241,0.02788908328159979,0.5072494443856492,0.02254171604868597,0.5058065775348882,0.024375905337020522,0.4964982724810907,0.02500611396429445,0.4933554112002717,0.054649434693455234,0.4846402436759407,0.061360686268976804,0.47456679709334826,0.027950222924544275,0.47685647685647686,0.026939067291231633,0.48070549907318993,0.040248697255300336,0.45939991607217795,0.02059465357337698,0.36374884008660685,0.005530786161747277,183.2,41.9,8.5,17.489032597,54145.0,148.88753737689626
01005,24881.0,0.5277008310249307,0.1882469331222794,37.2,41.6,31.0,0.18622872971903442,0.7914523149980214,1.9786307874950535,0.49764982373678024,0.03351800554016621,0.5030450669914738,0.032686980609418284,0.5128205128205128,0.032449544914918874,0.5309069901790873,0.036367233874159084,0.5841694537346711,0.04147210130589632,0.6029850746268657,0.04796201028888009,0.6426991150442478,0.04598337950138504,0.5829658213891952,0.08369608231104075,0.538576406172225,0.08563514048278591,0.5008255365987893,0.036011080332409975,0.4774874930516954,0.03399287692916502,0.4767649687220733,0.04222398100514444,0.40553745928338764,0.01970716264345073,0.291196388261851,0.005104867431737238,220.4,49.0,15.7,21.999984528000002,6681.0,18.483155479477
01007,22400.0,0.5354685018528322,0.1602258690665255,36.5,39.5,36.8,0.14950591141697547,0.8823010411152286,0.0,0.5166908563134979,0.031409917063702136,0.5402135231316726,0.033483324510322925,0.5354166666666667,0.034012705134992056,0.5223590408295529,0.035556731956943706,0.5439302481556003,0.03577730721722252,0.6157205240174672,0.043541556379036526,0.6154313487241798,0.044688547732486324,0.5603193376700177,0.0835980236456679,0.5561134081512109,0.08306864302099877,0.5239114917915775,0.03238044820892889,0.512743628185907,0.030174695606140816,0.4660475914103308,0.035424386800776426,0.4092920353982301,0.016322569260631727,0.2616487455197133,0.003220398800070584,225.5,57.2,13.3,19.114199885,5128.0,15.381365917521277
01009,57840.0,0.49311361246617136,0.17842552531329184,38.0,40.0,88.9,0.16448037508834226,0.34475031458466204,1.0342509437539862,0.49917035398230086,0.031113715891265752,0.49896907216494846,0.03337183045179529,0.517384916748286,0.03642287073586955,0.530374411108356,0.036871046144829604,0.507563566140972,0.027183562305000603,0.5049476135040745,0.029907089790219433,0.5027608253414705,0.02982090221157327,0.5075078864353312,0.06932928826297553,0.5031539888682746,0.07012221398652026,0.4899837574445046,0.031199903469911916,0.47459519821328866,0.029303776739696277,0.470761961015948,0.041214900108596346,0.4318181818181818,0.01899574233361488,0.2896039603960396,0.004033578680640546,224.8,52.8,14.9,19.20867197,13175.0,48.4994417501134
01011,10138.0,0.5446697060820642,0.15821127170433602,37.7,39.7,17.5,0.1391017557474052,1.9400523814142983,0.0,0.5417789757412399,0.03899505286642739,0.5175438596491229,0.0286157726258609,0.49925925925925924,0.032689882626830924,0.5027548209366391,0.03540595596081094,0.5513361462728551,0.03802502667572025,0.6082725060827251,0.04850130953535745,0.6057298772169167,0.04306916286739742,0.5991189427312775,0.07915413716170337,0.572775486152033,0.0942865457367349,0.5638020833333334,0.04200213405761956,0.5164319248826291,0.03201086429333592,0.47065868263473054,0.03812202929479096,0.4014084507042254,0.016587447861092248,0.2980769230769231,0.006014162382384325,214.3,54.1,22.4,22.894664011,2198.0,6.2155030236393625
01013,19680.0,0.46567465321563684,0.19556116015132408,37.7,41.9,27.0,0.18012610340479193,1.008827238335435,3.530895334174023,0.5204081632653061,0.03601513240857503,0.537379718726869,0.03662042875157629,0.5119453924914675,0.03783102143757881,0.5348670021567218,0.037528373266078184,0.4564102564102564,0.026935687263556118,0.4505066250974279,0.029155107187894075,0.46141479099678456,0.028953341740226988,0.4589819099705511,0.055031525851197985,0.47013422818791945,0.07066834804539722,0.46636185499673416,0.03601513240857503,0.4853168469860896,0.031677175283732664,0.45872061235647893,0.0423203026481715,0.3554006968641115,0.020580075662042875,0.267578125,0.00691046658259773,259.5,59.0,16.9,21.765334963,5073.0,18.04864658423641
01015,114277.0,0.4806934662854752,0.17312251586360783,36.5,39.6,195.7,0.17556307091555678,0.34865072170699396,2.0919043302419635,0.5142976124375347,0.032293773098110316,0.516021805610956,0.033827836273621084,0.5099106101826661,0.034307231015968206,0.5045892877890089,0.037854752109336864,0.4958989137663489,0.03899658322292727,0.488225233521905,0.03234607070636636,0.4894238797662121,0.030655114706087443,0.4895740753401244,0.06241719545359459,0.48616507712233603,0.07197894149640889,0.4808075772681954,0.033627362108639564,0.47593507410021174,0.02939125583989959,0.45766663134470703,0.03764556167631267,0.3781527222125587,0.018949166724775122,0.2588691796008869,0.004070497175929154,315.8,44.0,15.6,20.612560375,28487.0,107.84814290051615
01017,33615.0,0.4787470708628719,0.19078693678996234,39.8,43.4,57.4,0.18811734345801323,0.0,0.0,0.5023041474654378,0.029098567318245186,0.5286063569682151,0.03206478213152197,0.5069289226642825,0.033636875982558656,0.5082680591818973,0.03464538901907276,0.5210389610389611,0.029751134577166077,0.4780074191838898,0.026755257615756534,0.48171368861024033,0.02734850057841189,0.4939079422382672,0.06493044226262866,0.48128342245989303,0.0720790199626257,0.472233481961897,0.03455640257467446,0.4678540399652476,0.031946133538990895,0.46846846846846846,0.043188087681309884,0.3645320197044335,0.01975499065642334,0.245136186770428,0.005606145997093109,196.7,45.2,17.5,19.392927053,9276.0,33.3924594476107
01019,26032.0,0.4968093746374289,0.22616699539776464,43.1,44.9,46.9,0.20091271222492943,0.773484936380864,0.0,0.516546762589928,0.027768109216073016,0.4822834645669291,0.028425571411996753,0.5085889570552147,0.03206095061298681,0.5389221556886228,0.03480682213713888,0.5111287758346582,0.024867540704644777,0.4821576763485477,0.022469737401864098,0.5052316890881914,0.026143790849673203,0.514792899408284,0.06729318946513517,0.5014925373134328,0.07796728158719109,0.5049764274489261,0.037281973933557644,0.49602780536246277,0.03863557257222416,0.48435888621519424,0.054492013768031866,0.4101247248716067,0.021618903971845148,0.31398416886543534,0.0046022353714661405,267.4,47.3,12.2,17.498673785,7493.0,30.03201354419177
