state,county,2015,2016,2017,2018,fips
Arkansas,Baxter,1101296,1094691,1102545,1131278,
Arkansas,Benton,11874454,12095992,12846262,13245065,
Arkansas,Boone,1106264,1113842,1117118,1150136,
Arkansas,Bradley,321127,313284,323897,330283,
Arkansas,Calhoun,314529,305565,326112,344894,
Arkansas,Carroll,756728,723423,784947,788311,
Arkansas,Chicot,234007,253168,254641,244098,
Arkansas,Clark,718661,723399,730698,734017,
Arkansas,Clay,299759,289400,313160,304763,
Arkansas,Cleburne,1099560,1009797,982503,890222,
Arkansas,Cleveland,160765,156902,163377,169834,
Arkansas,Columbia,883285,843077,831485,828515,
Arkansas,Conway,1154642,1085068,1025383,962556,
Arkansas,Craighead,3821826,3860116,3922075,4031319,
Arkansas,Crawford,1528602,1517580,1542213,1567342,
Arkansas,Crittenden,1493676,1464223,1483554,1481505,
Arkansas,Cross,437090,435801,439065,440941,
Arkansas,Dallas,195291,194016,195576,192320,
Arkansas,Desha,505433,536213,495296,498045,
Arkansas,Drew,570890,589264,571341,574589,
Arkansas,Faulkner,3720455,3679979,3625171,3683719,
Arkansas,Franklin,485328,455437,471660,479936,
Arkansas,Fulton,199447,179951,180330,187790,
Arkansas,Garland,2937538,2942846,3003768,3051825,
Arkansas,Grant,375292,372803,378549,390516,
Arkansas,Greene,1316996,1283954,1315511,1342823,
Arkansas,Hempstead,817269,818374,883781,877218,
Arkansas,Hot Spring,823538,893297,873769,863609,
Arkansas,Howard,580517,569038,593606,597565,
Arkansas,Independence,1489901,1572081,1582135,1670702,
Arkansas,Izard,291945,280613,267905,273211,
Arkansas,Jackson,528349,533677,520962,528213,
Arkansas,Jefferson,2917025,2935141,2931545,2917078,
Arkansas,Johnson,692708,688151,703176,698286,
Arkansas,Lafayette,197146,201252,182376,174464,
Arkansas,Lawrence,377185,401118,419851,444009,
Arkansas,Lee,186225,178330,170645,178058,
Arkansas,Lincoln,263976,278624,250313,261122,
Arkansas,Little River,406071,396547,384516,378858,
Arkansas,Logan,628938,605629,614896,600829,
Arkansas,Lonoke,1129147,1120170,1145735,1159033,
Arkansas,Madison,407009,390283,405857,411807,
Arkansas,Marion,550764,486098,486441,494246,
Arkansas,Miller,1116700,1094405,1075969,1102278,
Arkansas,Mississippi,2006432,2165446,2086796,2205413,
Arkansas,Monroe,192302,197137,194720,188860,
Arkansas,Montgomery,166208,157184,155057,157162,
Arkansas,Nevada,276505,270195,264549,272959,
Arkansas,Newton,101767,97685,95467,96963,
Arkansas,Ouachita,622256,610952,605002,614610,
Arkansas,Perry,153683,142159,142145,141590,
Arkansas,Phillips,480917,457899,444620,458421,
Arkansas,Pike,245683,234545,240251,248289,
Arkansas,Poinsett,529275,528857,541014,555990,
Arkansas,Polk,500117,479843,490456,502922,
Arkansas,Pope,2805696,2728238,2683755,2692810,
Arkansas,Prairie,158599,159145,164188,165493,
Arkansas,Pulaski,26416384,26975550,26639032,27208113,
Arkansas,Randolph,348243,367600,393806,415843,
Arkansas,Saline,1935576,1926672,1930880,1991439,
Arkansas,Scott,275104,266741,283220,288385,
Arkansas,Searcy,128823,122884,120167,122483,
Arkansas,Sebastian,6009047,6017794,5982291,6067121,
Arkansas,Sevier,449689,445428,448651,462219,
Arkansas,Sharp,327148,315495,314779,309809,
Arkansas,St. Francis,689420,670682,693463,687857,
Arkansas,Stone,230089,212889,219896,228301,
Arkansas,Union,2763045,2652569,2723839,2806423,
Arkansas,Van Buren,942137,826520,756095,658285,
Arkansas,Washington,9039927,9389303,9676654,9828703,
Arkansas,White,2425197,2350710,2296231,2272114,
Arkansas,Woodruff,185095,191496,204480,210719,
Arkansas,Yell,534662,517732,537493,550276,
California,,2428598371,2500950427,2610682250,2721651005,
California,Alameda,114592329,119447773,125803266,130701879,
California,Alpine,194700,197160,197087,214895,
California,Amador,1514323,1557733,1589308,1651760,
California,Butte,8271641,8685754,9002731,9219915,
California,Calaveras,1249325,1351739,1452571,1440250,
California,Colusa,1693756,1579352,1472320,1673234,
California,Contra Costa,71028489,70594339,75495547,77463188,
California,Del Norte,869352,902897,905649,939846,
California,El Dorado,6601749,7043191,7419868,7653908,
California,Fresno,39100161,39839249,41597807,43436946,
California,Glenn,1234667,1354291,1318557,1495087,
California,Humboldt,5528777,5765056,5954256,6118687,
California,Imperial,7759415,8016694,8189014,8038068,
California,Inyo,1123225,1184726,1195289,1205264,
California,Kern,48137003,49076083,50226164,49864234,
California,Kings,5487526,5377698,5481134,5648724,
California,Lake,1948505,2059415,2106437,2178663,
California,Lassen,1298987,1346229,1340576,1358142,
California,Los Angeles,653885024,667706082,688661590,710893266,
California,Madera,5982371,6418227,6658105,7099931,
California,Marin,19089876,19648493,19983906,20896027,
California,Mariposa,689194,751702,796797,811272,
California,Mendocino,3334857,3386979,3444874,3552687,
California,Merced,8595504,8742254,9504388,9435667,
California,Modoc,433203,445488,426486,441800,
California,Mono,907585,949362,1046210,1009386,
California,Monterey,24379259,24879466,25149109,25834713,
California,Napa,9214016,9336207,9506546,9999759,
California,Nevada,3942943,4029754,4053373,4170409,
California,Orange,208517447,212281069,223791535,230145536,
California,Placer,18891434,19854262,21027562,22021571,
California,Plumas,937022,1012209,1109769,1052152,
California,Riverside,72375487,74405465,77102154,79775504,
California,Sacramento,78935508,79773093,82506601,85235147,
California,San Benito,2275993,2385697,2482964,2495845,
California,San Bernardino,77495694,79698867,82478302,85114555,
California,San Diego,200564607,203882502,210693896,219361505,
California,San Francisco,133969619,142435855,151359380,162541244,
California,San Joaquin,26817792,26805456,28027041,29257580,
California,San Luis Obispo,15388320,15865142,16138584,16536404,
California,San Mateo,86010720,91287140,99816105,104986153,
California,Santa Barbara,26252102,26107316,26861059,27855958,
California,Santa Clara,251750330,268421986,287235403,316525538,
California,Santa Cruz,13166978,13370887,13520021,13765700,
California,Shasta,7010541,7289876,7635618,7655080,
California,Sierra,174241,186168,191322,215033,
California,Siskiyou,1724683,1802970,1811500,1776081,
California,Solano,21145851,22142123,22841474,23303994,
California,Sonoma,25854007,26617535,27421167,28565621,
California,Stanislaus,21248796,21075833,21993425,23160773,
California,Sutter,3289404,3252117,3326349,3486115,
California,Tehama,1917492,2037676,2100567,2210392,
California,Trinity,451395,473471,492954,506794,
California,Tulare,16739950,17147139,17773212,18415098,
California,Tuolumne,2226912,2425612,2556252,2430940,
California,Ventura,50480790,51798309,52776068,53439240,
California,Yolo,12532441,12952543,13350147,13751632,
California,Yuba,2753556,2872113,2985566,3020233,
Colorado,,309179631,316751784,329573719,341076739,
Colorado,Adams,21039417,21995795,22938605,23933937,
Colorado,Alamosa,662337,659375,654314,671553,
Colorado,Arapahoe,39956471,41013746,42654549,44037874,
Colorado,Archuleta,464385,481176,479089,482935,
Colorado,Baca,118407,121877,127452,137473,
Colorado,Bent,172963,181238,163672,165660,
Colorado,Boulder,22669578,23423069,24607654,25319458,
Colorado,Broomfield,7595628,7596604,8366371,8050690,8014
Colorado,Chaffee,606033,634208,662174,692114,
Colorado,Cheyenne,217923,230128,251808,235536,
Colorado,Clear Creek,639648,494493,509932,500533,
Colorado,Conejos,215666,216947,222447,244248,
Colorado,Costilla,107006,96329,104746,107662,
Colorado,Crowley,168503,182013,153741,126638,
Colorado,Custer,140388,126686,125904,127789,
Colorado,Delta,791826,756267,750050,785652,
Colorado,Denver,64116859,64925150,67039713,70054379,
Colorado,Dolores,216453,191724,188029,156585,
Colorado,Douglas,14173343,14332960,15226588,15743268,
Colorado,Eagle,3136360,3216484,3308719,3375460,
Colorado,Elbert,408333,423323,451766,484094,
Colorado,El Paso,30201637,30907788,32265733,33349174,
